"industry","topic","post_covid_score","name","description"
"Life Sciences & Biopharma","Leadership",-0.442805035,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Innovation",-0.408066206,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Open to feedback",0.049701975,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Agility",0.062024776,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Work-life balance",-0.059915596,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Transparency",-0.238398178,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Toxic culture",-0.354981094,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Supportive culture",-0.359020472,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Strategy",1.326781662,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Leadership",-0.097696226,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Innovation",-0.071840622,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Open to feedback",0.503595204,"AbbVie","Biopharma firm best known for Humira"
"Life Sciences & Biopharma","Agility",-0.876685816,"AbbVie","Biopharma firm best known for Humira"
"Specialty Retail & Apparel","Work-life balance",0.672486408,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Transparency",NA,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Toxic culture",0.56091717,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Supportive culture",0.634155774,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Strategy",NA,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Leadership",0.898789043,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Innovation",NA,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Open to feedback",NA,"Abercrombie & Fitch","Preppy American clothing brand"
"Specialty Retail & Apparel","Agility",NA,"Abercrombie & Fitch","Preppy American clothing brand"
"Outsourcing & Staffing","Work-life balance",-0.374363267,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Transparency",NA,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Toxic culture",-0.639342211,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Supportive culture",-1.07553922,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Strategy",NA,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Leadership",-1.081290126,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Innovation",NA,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Open to feedback",NA,"ABM Industries","Facility management and services"
"Outsourcing & Staffing","Agility",NA,"ABM Industries","Facility management and services"
"Specialty Retail & Apparel","Work-life balance",-0.114106338,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Transparency",NA,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Toxic culture",-0.106508532,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Supportive culture",0.159191257,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Strategy",NA,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Leadership",-0.043169556,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Innovation",NA,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Open to feedback",NA,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Specialty Retail & Apparel","Agility",NA,"Academy Sports + Outdoors","Sports and outdoor goods retailer"
"Business Consulting","Work-life balance",0.544642648,"Accenture","Consulting and technology services"
"Business Consulting","Transparency",0.233807946,"Accenture","Consulting and technology services"
"Business Consulting","Toxic culture",0.79762367,"Accenture","Consulting and technology services"
"Business Consulting","Supportive culture",-1.159603731,"Accenture","Consulting and technology services"
"Business Consulting","Strategy",0.106979884,"Accenture","Consulting and technology services"
"Business Consulting","Leadership",0.136349989,"Accenture","Consulting and technology services"
"Business Consulting","Innovation",NA,"Accenture","Consulting and technology services"
"Business Consulting","Open to feedback",0.036506226,"Accenture","Consulting and technology services"
"Business Consulting","Agility",-0.584888442,"Accenture","Consulting and technology services"
"Specialty Retail & Apparel","Work-life balance",1.119199321,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Transparency",NA,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Toxic culture",0.273524396,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Supportive culture",0.649571271,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Strategy",NA,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Leadership",1.71059534,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Innovation",NA,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Open to feedback",NA,"Ace Hardware","Co-op of independent hardware stores"
"Specialty Retail & Apparel","Agility",NA,"Ace Hardware","Co-op of independent hardware stores"
"Business Services","Work-life balance",2.060383483,"Acosta","Marketing agency for consumer goods"
"Business Services","Transparency",-1.585123197,"Acosta","Marketing agency for consumer goods"
"Business Services","Toxic culture",0.686542396,"Acosta","Marketing agency for consumer goods"
"Business Services","Supportive culture",-0.825348381,"Acosta","Marketing agency for consumer goods"
"Business Services","Strategy",1.218658179,"Acosta","Marketing agency for consumer goods"
"Business Services","Leadership",-0.197603569,"Acosta","Marketing agency for consumer goods"
"Business Services","Innovation",NA,"Acosta","Marketing agency for consumer goods"
"Business Services","Open to feedback",-0.200992139,"Acosta","Marketing agency for consumer goods"
"Business Services","Agility",0.563256997,"Acosta","Marketing agency for consumer goods"
"Outsourcing & Staffing","Work-life balance",-1.19838897,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Transparency",NA,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Toxic culture",0.227725716,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Supportive culture",0.565463755,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Strategy",NA,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Leadership",0.333694094,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Innovation",NA,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Open to feedback",NA,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Agility",NA,"Actalent","Staffing firm for engineers and scientists"
"Outsourcing & Staffing","Work-life balance",0.53571192,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Transparency",NA,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Toxic culture",0.810606354,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Supportive culture",0.183804862,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Strategy",NA,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Leadership",0.446663882,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Innovation",NA,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Open to feedback",NA,"Adecco","Global staffing and HR services"
"Outsourcing & Staffing","Agility",NA,"Adecco","Global staffing and HR services"
"Specialty Retail & Apparel","Work-life balance",0.646918403,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Transparency",NA,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Toxic culture",0.550680236,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Supportive culture",1.399862815,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Strategy",NA,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Leadership",0.410082661,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Innovation",NA,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Open to feedback",NA,"adidas","German sportswear brand"
"Specialty Retail & Apparel","Agility",NA,"adidas","German sportswear brand"
"Software & IT Services","Work-life balance",0.497063503,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Transparency",0.690587774,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Toxic culture",-0.098857715,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Supportive culture",0.783656928,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Strategy",-0.132724477,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Leadership",0.20893445,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Innovation",1.552811491,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Open to feedback",0.180150621,"Adobe","Creator of Photoshop and digital tools"
"Software & IT Services","Agility",-2.396603423,"Adobe","Creator of Photoshop and digital tools"
"Business Services","Work-life balance",-0.489467804,"ADP","Payroll and human resources"
"Business Services","Transparency",1.697550392,"ADP","Payroll and human resources"
"Business Services","Toxic culture",0.144198888,"ADP","Payroll and human resources"
"Business Services","Supportive culture",0.438344313,"ADP","Payroll and human resources"
"Business Services","Strategy",0.362103692,"ADP","Payroll and human resources"
"Business Services","Leadership",0.582559903,"ADP","Payroll and human resources"
"Business Services","Innovation",NA,"ADP","Payroll and human resources"
"Business Services","Open to feedback",0.356213507,"ADP","Payroll and human resources"
"Business Services","Agility",-0.529422785,"ADP","Payroll and human resources"
"Outsourcing & Staffing","Work-life balance",-0.024646872,"ADT","Home and business security"
"Outsourcing & Staffing","Transparency",NA,"ADT","Home and business security"
"Outsourcing & Staffing","Toxic culture",-0.990235433,"ADT","Home and business security"
"Outsourcing & Staffing","Supportive culture",-1.222689509,"ADT","Home and business security"
"Outsourcing & Staffing","Strategy",NA,"ADT","Home and business security"
"Outsourcing & Staffing","Leadership",-0.913891077,"ADT","Home and business security"
"Outsourcing & Staffing","Innovation",NA,"ADT","Home and business security"
"Outsourcing & Staffing","Open to feedback",NA,"ADT","Home and business security"
"Outsourcing & Staffing","Agility",NA,"ADT","Home and business security"
"Specialty Retail & Apparel","Work-life balance",0.918495408,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Transparency",NA,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Toxic culture",-0.036241182,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Supportive culture",-1.296934767,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Strategy",NA,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Leadership",-0.48334263,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Innovation",NA,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Open to feedback",NA,"Advance Auto Parts","American car parts retailer"
"Specialty Retail & Apparel","Agility",NA,"Advance Auto Parts","American car parts retailer"
"Business Services","Work-life balance",1.164098,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Transparency",-1.60433158,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Toxic culture",0.136965668,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Supportive culture",-0.8671741,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Strategy",-0.738909478,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Leadership",-0.052829024,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Innovation",NA,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Open to feedback",-0.351153938,"Advantage Solutions","Retail marketing and merchandising"
"Business Services","Agility",0.951735056,"Advantage Solutions","Retail marketing and merchandising"
"Specialty Retail & Apparel","Work-life balance",-0.362568975,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Transparency",NA,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Toxic culture",0.754570719,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Supportive culture",-0.279377968,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Strategy",NA,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Leadership",-0.581211924,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Innovation",NA,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Open to feedback",NA,"Aerie","Intimates brand under American Eagle"
"Specialty Retail & Apparel","Agility",NA,"Aerie","Intimates brand under American Eagle"
"Outsourcing & Staffing","Work-life balance",-2.203601306,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Transparency",NA,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Toxic culture",-0.568465708,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Supportive culture",0.327120155,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Strategy",NA,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Leadership",-0.407754891,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Innovation",NA,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Open to feedback",NA,"Aerotek","Technical and engineering staffing agency"
"Outsourcing & Staffing","Agility",NA,"Aerotek","Technical and engineering staffing agency"
"Insurance","Work-life balance",0.640898631,"Aflac","Insurer known for supplemental coverage"
"Insurance","Transparency",0.560164138,"Aflac","Insurer known for supplemental coverage"
"Insurance","Toxic culture",-0.495318972,"Aflac","Insurer known for supplemental coverage"
"Insurance","Supportive culture",-0.021386012,"Aflac","Insurer known for supplemental coverage"
"Insurance","Strategy",1.219592113,"Aflac","Insurer known for supplemental coverage"
"Insurance","Leadership",0.60313366,"Aflac","Insurer known for supplemental coverage"
"Insurance","Innovation",NA,"Aflac","Insurer known for supplemental coverage"
"Insurance","Open to feedback",0.469276654,"Aflac","Insurer known for supplemental coverage"
"Insurance","Agility",2.140059024,"Aflac","Insurer known for supplemental coverage"
"Insurance","Work-life balance",1.062606296,"AIG","Multinational insurance and finance"
"Insurance","Transparency",-0.101353687,"AIG","Multinational insurance and finance"
"Insurance","Toxic culture",1.069728861,"AIG","Multinational insurance and finance"
"Insurance","Supportive culture",-0.017938722,"AIG","Multinational insurance and finance"
"Insurance","Strategy",-0.3173436,"AIG","Multinational insurance and finance"
"Insurance","Leadership",0.174430749,"AIG","Multinational insurance and finance"
"Insurance","Innovation",NA,"AIG","Multinational insurance and finance"
"Insurance","Open to feedback",0.797195906,"AIG","Multinational insurance and finance"
"Insurance","Agility",-1.286512747,"AIG","Multinational insurance and finance"
"Travel & Leisure","Work-life balance",-0.100801444,"Air Canada","Canada's largest airline"
"Travel & Leisure","Transparency",NA,"Air Canada","Canada's largest airline"
"Travel & Leisure","Toxic culture",-0.255713898,"Air Canada","Canada's largest airline"
"Travel & Leisure","Supportive culture",-1.559741544,"Air Canada","Canada's largest airline"
"Travel & Leisure","Strategy",NA,"Air Canada","Canada's largest airline"
"Travel & Leisure","Leadership",-0.832193559,"Air Canada","Canada's largest airline"
"Travel & Leisure","Innovation",NA,"Air Canada","Canada's largest airline"
"Travel & Leisure","Open to feedback",NA,"Air Canada","Canada's largest airline"
"Travel & Leisure","Agility",NA,"Air Canada","Canada's largest airline"
"Industrials","Work-life balance",0.118676086,"Air Liquide","French industrial gases company"
"Industrials","Transparency",-0.560377615,"Air Liquide","French industrial gases company"
"Industrials","Toxic culture",-1.901391247,"Air Liquide","French industrial gases company"
"Industrials","Supportive culture",-1.182458057,"Air Liquide","French industrial gases company"
"Industrials","Strategy",0.564999963,"Air Liquide","French industrial gases company"
"Industrials","Leadership",-0.552066915,"Air Liquide","French industrial gases company"
"Industrials","Innovation",-0.420815283,"Air Liquide","French industrial gases company"
"Industrials","Open to feedback",-1.501405419,"Air Liquide","French industrial gases company"
"Industrials","Agility",0.23197441,"Air Liquide","French industrial gases company"
"Industrials","Work-life balance",0.749668574,"Airbus","Aircraft manufacturer"
"Industrials","Transparency",0.405152672,"Airbus","Aircraft manufacturer"
"Industrials","Toxic culture",1.882278634,"Airbus","Aircraft manufacturer"
"Industrials","Supportive culture",1.091365315,"Airbus","Aircraft manufacturer"
"Industrials","Strategy",0.930617765,"Airbus","Aircraft manufacturer"
"Industrials","Leadership",0.817338438,"Airbus","Aircraft manufacturer"
"Industrials","Innovation",0.734392066,"Airbus","Aircraft manufacturer"
"Industrials","Open to feedback",0.870436152,"Airbus","Aircraft manufacturer"
"Industrials","Agility",-0.886515929,"Airbus","Aircraft manufacturer"
"Travel & Leisure","Work-life balance",0.405783683,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Transparency",NA,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Toxic culture",0.942261294,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Supportive culture",1.015177389,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Strategy",NA,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Leadership",0.087399807,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Innovation",NA,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Open to feedback",NA,"Alaska Airlines","Seattle-based American airline"
"Travel & Leisure","Agility",NA,"Alaska Airlines","Seattle-based American airline"
"Grocery Stores","Work-life balance",0.396540988,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Transparency",NA,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Toxic culture",0.346228209,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Supportive culture",-0.003299988,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Strategy",NA,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Leadership",0.337055541,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Innovation",NA,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Open to feedback",NA,"Albertsons","Grocery chain based in the US"
"Grocery Stores","Agility",NA,"Albertsons","Grocery chain based in the US"
"Life Sciences & Biopharma","Work-life balance",-0.129575464,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Transparency",0.307684821,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Toxic culture",-0.953607837,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Supportive culture",-0.769848158,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Strategy",0.346540043,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Leadership",-0.287627431,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Innovation",-0.66813568,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Open to feedback",-0.83645215,"Alcon","Eye care and surgical products"
"Life Sciences & Biopharma","Agility",-0.487401424,"Alcon","Eye care and surgical products"
"Grocery Stores","Work-life balance",-1.751406317,"ALDI","German discount supermarket chain"
"Grocery Stores","Transparency",NA,"ALDI","German discount supermarket chain"
"Grocery Stores","Toxic culture",0.11764845,"ALDI","German discount supermarket chain"
"Grocery Stores","Supportive culture",0.490289652,"ALDI","German discount supermarket chain"
"Grocery Stores","Strategy",NA,"ALDI","German discount supermarket chain"
"Grocery Stores","Leadership",0.194248375,"ALDI","German discount supermarket chain"
"Grocery Stores","Innovation",NA,"ALDI","German discount supermarket chain"
"Grocery Stores","Open to feedback",NA,"ALDI","German discount supermarket chain"
"Grocery Stores","Agility",NA,"ALDI","German discount supermarket chain"
"Specialty Retail & Apparel","Work-life balance",-0.153257026,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Transparency",NA,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Toxic culture",0.834912751,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Supportive culture",0.22795162,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Strategy",NA,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Leadership",0.486135097,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Innovation",NA,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Open to feedback",NA,"ALDO Group","Canadian footwear and accessories shop"
"Specialty Retail & Apparel","Agility",NA,"ALDO Group","Canadian footwear and accessories shop"
"Business Services","Work-life balance",1.188802976,"Alight","Cloud-based HR and payroll platform"
"Business Services","Transparency",1.172126218,"Alight","Cloud-based HR and payroll platform"
"Business Services","Toxic culture",0.515676531,"Alight","Cloud-based HR and payroll platform"
"Business Services","Supportive culture",-0.659909004,"Alight","Cloud-based HR and payroll platform"
"Business Services","Strategy",-0.162372946,"Alight","Cloud-based HR and payroll platform"
"Business Services","Leadership",1.018543882,"Alight","Cloud-based HR and payroll platform"
"Business Services","Innovation",NA,"Alight","Cloud-based HR and payroll platform"
"Business Services","Open to feedback",0.408040476,"Alight","Cloud-based HR and payroll platform"
"Business Services","Agility",0.017248686,"Alight","Cloud-based HR and payroll platform"
"Insurance","Work-life balance",0.753402752,"Allianz","German multinational insurance company"
"Insurance","Transparency",-0.624729455,"Allianz","German multinational insurance company"
"Insurance","Toxic culture",0.182844999,"Allianz","German multinational insurance company"
"Insurance","Supportive culture",-1.11462021,"Allianz","German multinational insurance company"
"Insurance","Strategy",-0.035110473,"Allianz","German multinational insurance company"
"Insurance","Leadership",-0.519972112,"Allianz","German multinational insurance company"
"Insurance","Innovation",NA,"Allianz","German multinational insurance company"
"Insurance","Open to feedback",0.235663269,"Allianz","German multinational insurance company"
"Insurance","Agility",-0.744689019,"Allianz","German multinational insurance company"
"Financial Services","Work-life balance",0.987894597,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Transparency",-0.579102091,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Toxic culture",0.305961957,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Supportive culture",-0.158723568,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Strategy",1.223096433,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Leadership",0.050073152,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Innovation",NA,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Open to feedback",-0.036803269,"Allied Irish Banks","Major bank based in Ireland"
"Financial Services","Agility",-0.001264232,"Allied Irish Banks","Major bank based in Ireland"
"Outsourcing & Staffing","Work-life balance",-0.237060418,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Transparency",NA,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Toxic culture",-0.738395851,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Supportive culture",-1.649577273,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Strategy",NA,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Leadership",-1.771462169,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Innovation",NA,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Open to feedback",NA,"Allied Universal","Security and facility services"
"Outsourcing & Staffing","Agility",NA,"Allied Universal","Security and facility services"
"Insurance","Work-life balance",0.702163189,"Allstate","Insurance group for auto and home"
"Insurance","Transparency",0.261027911,"Allstate","Insurance group for auto and home"
"Insurance","Toxic culture",0.283765929,"Allstate","Insurance group for auto and home"
"Insurance","Supportive culture",-0.774627817,"Allstate","Insurance group for auto and home"
"Insurance","Strategy",-0.474906568,"Allstate","Insurance group for auto and home"
"Insurance","Leadership",0.110120185,"Allstate","Insurance group for auto and home"
"Insurance","Innovation",NA,"Allstate","Insurance group for auto and home"
"Insurance","Open to feedback",0.665185084,"Allstate","Insurance group for auto and home"
"Insurance","Agility",0.621906018,"Allstate","Insurance group for auto and home"
"Financial Services","Work-life balance",0.345774404,"Ally Financial","Digital financial services company"
"Financial Services","Transparency",0.189421186,"Ally Financial","Digital financial services company"
"Financial Services","Toxic culture",-0.900100021,"Ally Financial","Digital financial services company"
