from,to,weight
Communication,Compensation & Benefits,4
Career Development & Growth Opportunities,Workplace Culture,2
Company Structure & Organization,Workplace Culture,1
Employee Training & Development,Work Life Balance,1
Bureaucracy & Administrative Excess,Company Strategy,2
Bureaucracy & Administrative Excess,"Diversity, Equity, and Inclusion",1
Bureaucracy & Administrative Excess,Employee Training & Development,1
Bureaucracy & Administrative Excess,Flexible Work Arrangements,1
Bureaucracy & Administrative Excess,Justice & Fairness,1
Bureaucracy & Administrative Excess,Organization of Work,2
Bureaucracy & Administrative Excess,Resource Allocation Efficiency,1
Bureaucracy & Administrative Excess,Workplace Culture,1
Company Strategy,"Diversity, Equity, and Inclusion",1
Company Strategy,Employee Training & Development,3
Company Strategy,Flexible Work Arrangements,1
Company Strategy,Justice & Fairness,4
Company Strategy,Organization of Work,2
Company Strategy,Relationship With Peers & Colleagues,4
"Diversity, Equity, and Inclusion",Employee Training & Development,1
"Diversity, Equity, and Inclusion",Flexible Work Arrangements,1
"Diversity, Equity, and Inclusion",Justice & Fairness,1
"Diversity, Equity, and Inclusion",Organization of Work,2
"Diversity, Equity, and Inclusion",Relationship With Peers & Colleagues,1
"Diversity, Equity, and Inclusion",Resource Allocation Efficiency,1
Employee Training & Development,Justice & Fairness,2
Employee Training & Development,Organization of Work,2
Employee Training & Development,Relationship With Peers & Colleagues,1
Employee Training & Development,Workplace Culture,1
Flexible Work Arrangements,Justice & Fairness,1
Flexible Work Arrangements,Organization of Work,2
Flexible Work Arrangements,Relationship With Peers & Colleagues,1
Flexible Work Arrangements,Resource Allocation Efficiency,1
Flexible Work Arrangements,Workplace Culture,1
Justice & Fairness,Organization of Work,2
Justice & Fairness,Relationship With Peers & Colleagues,1
Justice & Fairness,Resource Allocation Efficiency,1
Justice & Fairness,Workplace Culture,1
Organization of Work,Relationship With Peers & Colleagues,2
Organization of Work,Resource Allocation Efficiency,3
Organization of Work,Workplace Culture,2
Relationship With Peers & Colleagues,Resource Allocation Efficiency,1
Resource Allocation Efficiency,Workplace Culture,2
Organizational Processes Efficiency,Quality of Work,2
Quality of Work,"Workload, Stress & Exhaustion",2
Capacity Planning,Company Structure & Organization,2
Compensation & Benefits,Flexible Work Arrangements,6
Bureaucracy & Administrative Excess,Compensation & Benefits,4
Bureaucracy & Administrative Excess,IT Support,2
Compensation & Benefits,IT Support,2
IT Support,"Workload, Stress & Exhaustion",2
Company Strategy,Work Life Balance,2
Compensation & Benefits,Relationship With Peers & Colleagues,3
Compensation & Benefits,Organization of Work,1
Staffing & Recruitment,Unclear Expectations,1
Compensation & Benefits,"Diversity, Equity, and Inclusion",8
Company Climate,Company Structure & Organization,1
Justice & Fairness,"Workload, Stress & Exhaustion",2
"Lateral Moves, Transfers & Relocations",Role Conflicts,2
Promotion & Succession,Workplace Culture,1
Leadership & Higher Management,Meaningfulness of Work,1
Organizational Processes Efficiency,Staffing & Recruitment,1
Support & Resources,"Workload, Stress & Exhaustion",1
Career Development & Growth Opportunities,Organizational Processes Efficiency,3
Career Development & Growth Opportunities,Employee Turnover,1
"Lateral Moves, Transfers & Relocations","Workload, Stress & Exhaustion",2
Compensation & Benefits,Staffing & Recruitment,4
Career Development & Growth Opportunities,Work Life Balance,1
"Lateral Moves, Transfers & Relocations",Support From Manager,1
Performance Management,Work Life Balance,2
Company Structure & Organization,Organizational Processes Efficiency,2
Organizational Processes Efficiency,Variability of Work,1
Unclear Expectations,Work Life Balance,1
Unclear Expectations,"Workload, Stress & Exhaustion",1
Recognition,Relationship With Direct Manager,1
Flexible Work Arrangements,Working Tools & Equipment,1
Career Development & Growth Opportunities,Employee Training & Development,2
Company Structure & Organization,"Diversity, Equity, and Inclusion",1
"Diversity, Equity, and Inclusion",Organizational Processes Efficiency,1
Compensation & Benefits,Survey Fatigue,1
Management Practices,Survey Fatigue,1
Management Practices,Work Life Balance,1
Survey Fatigue,Work Life Balance,1
Survey Fatigue,"Workload, Stress & Exhaustion",1
Performance Management,Promotion & Succession,1
Compensation & Benefits,Working Tools & Equipment,2
Working Tools & Equipment,"Workload, Stress & Exhaustion",1
Capacity Planning,Compensation & Benefits,1
Capacity Planning,Organizational Processes Efficiency,1
Capacity Planning,Working Tools & Equipment,1
Career Development & Growth Opportunities,Flexible Work Arrangements,2
Career Development & Growth Opportunities,Psychological Safety,2
Compensation & Benefits,Psychological Safety,2
Flexible Work Arrangements,Psychological Safety,2
Psychological Safety,"Workload, Stress & Exhaustion",3
Company Structure & Organization,Team Climate,1
Relationship With Peers & Colleagues,Team Climate,1
Company Innovativeness,Organizational Processes Efficiency,1
Relationship With Peers & Colleagues,Workplace Safety,1
Company Strategy,Reorganization,1
Compensation & Benefits,Reorganization,1
Organization of Work,Performance Management,1
Bureaucracy & Administrative Excess,Leadership & Higher Management,1
"Lateral Moves, Transfers & Relocations",Organization of Work,2
Management Practices,Resource Allocation Efficiency,1
Resource Allocation Efficiency,Support & Resources,4
Management Practices,Meaningfulness of Work,1
Company Structure & Organization,"Lateral Moves, Transfers & Relocations",1
Capacity Planning,"Workload, Stress & Exhaustion",2
Change Management,"Workload, Stress & Exhaustion",3
Career Development & Growth Opportunities,Justice & Fairness,1
Company Strategy,Staffing & Recruitment,2
Compensation & Benefits,Justice & Fairness,2
Employee Training & Development,Staffing & Recruitment,1
Justice & Fairness,Staffing & Recruitment,1
Staffing & Recruitment,"Workload, Stress & Exhaustion",1
Company Strategy,"Lateral Moves, Transfers & Relocations",1
Compensation & Benefits,Variability of Work,2
Recognition,Variability of Work,1
Variability of Work,"Workload, Stress & Exhaustion",1
Leadership & Higher Management,Relationship With Direct Manager,1
Leadership & Higher Management,Management Practices,1
Change Management,Company Structure & Organization,1
Change Management,Compensation & Benefits,1
Change Management,Meaningfulness of Work,1
Change Management,Performance Management,1
Change Management,Relationship With Peers & Colleagues,1
Company Structure & Organization,Meaningfulness of Work,1
Company Structure & Organization,Performance Management,1
Meaningfulness of Work,Performance Management,1
Meaningfulness of Work,Relationship With Peers & Colleagues,1
Performance Management,Relationship With Peers & Colleagues,1
Company Structure & Organization,Organization of Work,1
Company Strategy,Leadership & Higher Management,1
Company Strategy,Psychological Safety,1
Leadership & Higher Management,Psychological Safety,1
Leadership & Higher Management,Relationship With Peers & Colleagues,1
Psychological Safety,Relationship With Peers & Colleagues,1
"Company Brand, Prestige & Reputation",Relationship With Peers & Colleagues,2
"Diversity, Equity, and Inclusion","Workload, Stress & Exhaustion",1
"Diversity, Equity, and Inclusion",Management Practices,1
"Company Brand, Prestige & Reputation",Variability of Work,1
