id,cons,pain points
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",higher cost cutting measures compared to competitors
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",partners not sharing the burden of cost cutting measures
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee,expected to work long hours
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee,lack of recognition for junior grades
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee,feeling treated as a number instead of a valued employee
90,No real leadership or development from managers in the teams,lack of leadership from managers
90,No real leadership or development from managers in the teams,lack of team development
91,Pay could be improved for staff,insufficient pay for staff
92,Lots of internal politics to contend with that get in the way of serving clients,internal politics getting in the way of serving clients
93,Can not think of anything,
94,"Poor management, culture is not consistent across the firm",poor management
94,"Poor management, culture is not consistent across the firm",inconsistent culture across the firm
95,Salary is not as good as other big 4,lower than expected salary
96,Work load can be a lot,heavy workload
97,There’s no cons I can think of,
98,Could offer better training and development opportunities to certain service lines - plenty in FA/ Cons/ Audit but not others,insufficient training and development opportunities in certain service lines
99,"Could sometime feel siloed and very much driven by individual partner priorities, not aligning to your current goals",siloed work environment
99,"Could sometime feel siloed and very much driven by individual partner priorities, not aligning to your current goals",misalignment between individual partner priorities and current goals
100,None at all. Fantastic place to work,
101,"Culture 
Middle management are poor",poor middle management
102,Roles can involve long hours,long hours in roles
103,Pushed very hard and can be long hours,push for long hours
104,"long hours,travelling, steep learning curve",long hours
104,"long hours,travelling, steep learning curve",travelling
104,"long hours,travelling, steep learning curve",steep learning curve
105,Long hours at certain times in order to deliver the best client service,long hours
105,Long hours at certain times in order to deliver the best client service,fixed delivery times
106,Hours can be long on big engagements & pay is comparatively poor vs FA & consulting.,long hours on big engagements
106,Hours can be long on big engagements & pay is comparatively poor vs FA & consulting.,poor pay compared to FA and consulting
107,"Too much work, long hours",too much work
107,"Too much work, long hours",long hours
108,Just too big for my liking - a mere cog in a huge machine,machine feeling too big
109,Low salary compared to industry and political promotion,low salary
109,Low salary compared to industry and political promotion,political promotion
110,Work/life balance can be poor throughout periods of the year,poor work/life balance
111,Plenty and lots of work,excessive workload
112,Monotonous work but what do you expect?,monotonous work
113,Poor work life balance at times,poor work life balance
114,Long hours during interim - busy season,long hours during interim
114,Long hours during interim - busy season,busy season
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",internal politics
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",thankless work
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",poor work-life balance
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",low pay in comparison to industry
116,Really bad work life balance overall,bad work life balance
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",low pay for industry and experience
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",delayed promotions
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",overselling roles to clients
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",overworking employees
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",overcharging clients
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours",pay could be better
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours",constant encouragement to perform above paid grade
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours",long hours
119,Partners spend to much time on favourite team members,partners spending too much time on favorite team members
120,"High Pressure Environment
Potentially Long Hours",high pressure environment
120,"High Pressure Environment
Potentially Long Hours",potentially long hours
121,"Hours can be absolutely horrific, and as a junior member of staff we don't get paid enough to work 80 hours a week",horrific hours
121,"Hours can be absolutely horrific, and as a junior member of staff we don't get paid enough to work 80 hours a week",low pay for long working hours
122,"lots of work, high expectations",lots of work
122,"lots of work, high expectations",high expectations
123,Can improve in overtime and be paid for this,lack of pay for overtime work
124,Very long hours and no work life balance,very long hours
124,Very long hours and no work life balance,lack of work-life balance
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",poor strategy consulting
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",lack of strategy projects
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",transformation work disguised as strategy
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",unproductive investment
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",low pay
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",limited opportunities beyond senior manager level
126,Salary is little less for the amount of work.,insufficient salary for the amount of work
127,"too busy, need to work really hard",too busy
127,"too busy, need to work really hard",need to work very hard
128,"slow salary progression, lack of ownership over career direction",slow salary progression
128,"slow salary progression, lack of ownership over career direction",lack of ownership over career direction
129,too much process to little time,too much process to little time
130,"Hard work, people can be rude",hard work
130,"Hard work, people can be rude",rudeness of people
131,Lots of hours exceeding the usual 8 hours per day.,excessive working hours
132,Ultimately a disregard for well-being despite a lot of central communication,disregard for well-being
132,Ultimately a disregard for well-being despite a lot of central communication,lack of consideration in central communication
133,The pay is low for the working hours.,low pay for working hours
134,"The risk advisory position I took in Technology Digital Risk was mis sold. It is essentially IT Audit, with the 'chance' of doing advisory work 5+ years down the line if you're lucky (note its about an 80/20 split between IT audit and advisory work anyway). I doubt the advisory work is interesting and worth 5 years of your career regardless.
No career progression outside of the firm. If you stay long enough, you'll only get Internal Audit opportunities at mid and big size firms. It pigeon-holes you completely.
As a reference point, a few other grads reached out to me when they heard I was leaving as they were all feeling the same way about the job - seems like everyone is duped into this role in a way.",risk advisory position mis sold as IT Audit
134,"The risk advisory position I took in Technology Digital Risk was mis sold. It is essentially IT Audit, with the 'chance' of doing advisory work 5+ years down the line if you're lucky (note its about an 80/20 split between IT audit and advisory work anyway). I doubt the advisory work is interesting and worth 5 years of your career regardless.
No career progression outside of the firm. If you stay long enough, you'll only get Internal Audit opportunities at mid and big size firms. It pigeon-holes you completely.
As a reference point, a few other grads reached out to me when they heard I was leaving as they were all feeling the same way about the job - seems like everyone is duped into this role in a way.",limited career progression within the firm
134,"The risk advisory position I took in Technology Digital Risk was mis sold. It is essentially IT Audit, with the 'chance' of doing advisory work 5+ years down the line if you're lucky (note its about an 80/20 split between IT audit and advisory work anyway). I doubt the advisory work is interesting and worth 5 years of your career regardless.
No career progression outside of the firm. If you stay long enough, you'll only get Internal Audit opportunities at mid and big size firms. It pigeon-holes you completely.
As a reference point, a few other grads reached out to me when they heard I was leaving as they were all feeling the same way about the job - seems like everyone is duped into this role in a way.",potential pigeon-holing into Internal Audit
134,"The risk advisory position I took in Technology Digital Risk was mis sold. It is essentially IT Audit, with the 'chance' of doing advisory work 5+ years down the line if you're lucky (note its about an 80/20 split between IT audit and advisory work anyway). I doubt the advisory work is interesting and worth 5 years of your career regardless.
No career progression outside of the firm. If you stay long enough, you'll only get Internal Audit opportunities at mid and big size firms. It pigeon-holes you completely.
As a reference point, a few other grads reached out to me when they heard I was leaving as they were all feeling the same way about the job - seems like everyone is duped into this role in a way.",lack of interesting advisory work
135,Harder and harder to make partner,difficulty becoming a partner
136,"Depending on the team you end up working in, it can be quite bureaucratic",bureaucratic teams
137,Long hours and pressure if you don't know how to manage your bosses,long hours
137,Long hours and pressure if you don't know how to manage your bosses,pressure from bosses
138,"too political, long hours, no bonus, no pay rises",too political
138,"too political, long hours, no bonus, no pay rises",long hours
138,"too political, long hours, no bonus, no pay rises",no bonus
138,"too political, long hours, no bonus, no pay rises",no pay rises
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",bad management
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",awful office environment
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",managers using foul language
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",expected to work long hours without pay
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",staff shouting at each other
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",no training
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here",need for professional medical support
140,Relatively poor pay compared to other industries,poor pay compared to other industries
141,Sometimes you have to work long hours and tight deadlines,long hours
141,Sometimes you have to work long hours and tight deadlines,tight deadlines
142,Not paid enough for the amount of work expected,not paid enough for the expected workload
143,Salary is lower to what competitors offer,lower salary compared to competitors
144,- didn't employ on a perm basis (FTC),didn't employ on a permanent basis
145,"A bit bureaucratic, teams are too large, you never work with the same people. every 6 - 8 weeks you change client, colleagues, director and industry which is good if you're at the start of your carrier. but not ideal for experienced hires. Lots' of clique difficult to get into. Disappointed.",bureaucratic process
145,"A bit bureaucratic, teams are too large, you never work with the same people. every 6 - 8 weeks you change client, colleagues, director and industry which is good if you're at the start of your carrier. but not ideal for experienced hires. Lots' of clique difficult to get into. Disappointed.",large teams
145,"A bit bureaucratic, teams are too large, you never work with the same people. every 6 - 8 weeks you change client, colleagues, director and industry which is good if you're at the start of your carrier. but not ideal for experienced hires. Lots' of clique difficult to get into. Disappointed.",frequent changes in clients and colleagues
145,"A bit bureaucratic, teams are too large, you never work with the same people. every 6 - 8 weeks you change client, colleagues, director and industry which is good if you're at the start of your carrier. but not ideal for experienced hires. Lots' of clique difficult to get into. Disappointed.",cliquey environment
146,lots of crunch and additional time dedicated to role.,lots of crunch
146,lots of crunch and additional time dedicated to role.,extra time required for role
147,Location is a bit inconvenient,inconvenient location
148,"Pay not competitive. The longer you stay, the more you are underpaid, unless you make it to the partner level.",low pay
148,"Pay not competitive. The longer you stay, the more you are underpaid, unless you make it to the partner level.",decreasing pay over time
148,"Pay not competitive. The longer you stay, the more you are underpaid, unless you make it to the partner level.",unequal pay for partners
149,"No Cons, Work life balance not good, pay can be better",poor work-life balance
149,"No Cons, Work life balance not good, pay can be better",lower than expected pay
150,"No evidence to support D&I in the workplace
Very 'cliquey'
Great for graduates but not good for qualified/experienced hires
No regard for individuality",lack of evidence for D&I
150,"No evidence to support D&I in the workplace
Very 'cliquey'
Great for graduates but not good for qualified/experienced hires
No regard for individuality",cliquey culture
150,"No evidence to support D&I in the workplace
Very 'cliquey'
Great for graduates but not good for qualified/experienced hires
No regard for individuality",lack of support for qualified/experienced hires
