id,cons
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive."
54,"Long hours, knowledge expectations and utilisation requirements"
55,Work might be of different than your area of expertise
56,nothing i can think of really
57,Long hours but comes with the industry
58,"Long hours, too much red tape"
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground"
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax)."
61,"Sometimes long hours, admin, general corporate cons"
62,"Long hours, self discipline needed"
63,long hours and the heavy workload
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver."
65,No cons to date to report
66,Non existent work life balance
67,Long hours and boring work
68,"Lonf hours, no work life balance"
69,"tick-box exercise as training, internal communication can get quite complex and inefficient"
70,Bad process for managing work pipeline
71,Lots of work but thriving
72,"hierarchy is real 
partnership makes it competitive - partners out for their own agenda"
73,"Hours
Lack of unity across business areas"
74,As detailed above. But overall can get very busy
75,Depending on the projects there will be long hours
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.
77,"Toxic culture amongst senior leadership, boys club."
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it."
79,"long hours, too much admin work"
80,"Travel depending on role
Very high expectations"
81,"Long hours, poor bonus, high staff turnover"
82,The compensation is below market
83,Salary is not very competitive
84,Low work life balance f
85,It’s a cut throat industry & you have to perform at 100% always
86,You're either moving up or being moved out. Not a great place for a long term career.
87,Pay is relatively low compared to other industries
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years."
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee
90,No real leadership or development from managers in the teams
91,Pay could be improved for staff
92,Lots of internal politics to contend with that get in the way of serving clients
93,Can not think of anything
94,"Poor management, culture is not consistent across the firm"
95,Salary is not as good as other big 4
96,Work load can be a lot
97,There’s no cons I can think of
98,Could offer better training and development opportunities to certain service lines - plenty in FA/ Cons/ Audit but not others
99,"Could sometime feel siloed and very much driven by individual partner priorities, not aligning to your current goals"
100,None at all. Fantastic place to work
101,"Culture 
Middle management are poor"
102,Roles can involve long hours
103,Pushed very hard and can be long hours
104,"long hours,travelling, steep learning curve"
105,Long hours at certain times in order to deliver the best client service
106,Hours can be long on big engagements & pay is comparatively poor vs FA & consulting.
107,"Too much work, long hours"
108,Just too big for my liking - a mere cog in a huge machine
109,Low salary compared to industry and political promotion
110,Work/life balance can be poor throughout periods of the year
111,Plenty and lots of work
112,Monotonous work but what do you expect?
113,Poor work life balance at times
114,Long hours during interim - busy season
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)"
116,Really bad work life balance overall
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay"
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours"
119,Partners spend to much time on favourite team members
120,"High Pressure Environment
Potentially Long Hours"
121,"Hours can be absolutely horrific, and as a junior member of staff we don't get paid enough to work 80 hours a week"
122,"lots of work, high expectations"
123,Can improve in overtime and be paid for this
124,Very long hours and no work life balance
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally."
126,Salary is little less for the amount of work.
127,"too busy, need to work really hard"
128,"slow salary progression, lack of ownership over career direction"
129,too much process to little time
130,"Hard work, people can be rude"
131,Lots of hours exceeding the usual 8 hours per day.
132,Ultimately a disregard for well-being despite a lot of central communication
133,The pay is low for the working hours.
134,"The risk advisory position I took in Technology Digital Risk was mis sold. It is essentially IT Audit, with the 'chance' of doing advisory work 5+ years down the line if you're lucky (note its about an 80/20 split between IT audit and advisory work anyway). I doubt the advisory work is interesting and worth 5 years of your career regardless.
No career progression outside of the firm. If you stay long enough, you'll only get Internal Audit opportunities at mid and big size firms. It pigeon-holes you completely.
As a reference point, a few other grads reached out to me when they heard I was leaving as they were all feeling the same way about the job - seems like everyone is duped into this role in a way."
135,Harder and harder to make partner
136,"Depending on the team you end up working in, it can be quite bureaucratic"
137,Long hours and pressure if you don't know how to manage your bosses
138,"too political, long hours, no bonus, no pay rises"
139,"Bad Management, Awful Office Environment, Management Use Fowl Language WhenSpeaking To You, Expected To Work Long Hours With No Pay, Staff Shout At Each Other, No Training, You Will Need Professional Medical Support if you choose to work here"
140,Relatively poor pay compared to other industries
141,Sometimes you have to work long hours and tight deadlines
142,Not paid enough for the amount of work expected
143,Salary is lower to what competitors offer
144,- didn't employ on a perm basis (FTC)
145,"A bit bureaucratic, teams are too large, you never work with the same people. every 6 - 8 weeks you change client, colleagues, director and industry which is good if you're at the start of your carrier. but not ideal for experienced hires. Lots' of clique difficult to get into. Disappointed."
146,lots of crunch and additional time dedicated to role.
147,Location is a bit inconvenient
148,"Pay not competitive. The longer you stay, the more you are underpaid, unless you make it to the partner level."
149,"No Cons, Work life balance not good, pay can be better"
150,"No evidence to support D&I in the workplace
Very 'cliquey'
Great for graduates but not good for qualified/experienced hires
No regard for individuality"
151,"Long hours, no other cons"
152,can be scary for someone who isn't comfortable in the grey area or with ambiguous unclear tasks with minimal guidance
153,Work Life balance can be put at risk
154,work can be so broing
155,Can be left to fend for yourself
156,Sometimes can be challenging to meet client demands requiring long hours.
157,sometimes long hours and lacking work life balance
158,"People, culture, hiring process and lack of partner support"
159,I had an extremely positive experience
160,You spend time doing work only for the partners to ignore and do their own thing because they know HR better than you do.
161,can be very busy at times
162,Bureaucracy and politics do exist
163,"None, great place to work"
164,Sometimes hours can be long
165,Partner politics could make career progression
166,long work hours and poor work life balance
167,Lower than market pay compared to peers
168,High pressure work environment and very competitive
169,"none really, nice people and good food"
170,"Poor salary
Crap work life balance - constantly working overtime (unpaid of course)"
171,Hard to identify with the product sold in professional services
172,High expectations for level of renumeration
173,Group projects can get complicated especially when deadlines do get involved.
174,"low pay compared to market, progression is snailspace"
175,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom
176,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom
177,"workload quite demanding, pay at Junior levels not great"
178,Sometimes they don't push back on the client when needed
179,long working hours and low pay
180,long working hours and low pay
181,Work not particularly stimulating and pay can be low for work hours.
182,Work-life balance is not considered
183,"Terrible company to work for, ethos and management both awful"
184,"Terrible company to work for, ethos and management both awful"
185,Timeline and nasty client and alot of documentations
186,"Too much ""we are the best"" culture"
187,Minimal incentives beyond base pay
188,Pay is below market. Partners take all the money.
189,Mixed decisions for Covid-19 pandemic
190,Massive hours - 55-60 per week is standard. Woeful pay. We claim to be a Tier 1 firm but pay Tier 3 salaries. The bonus scheme is also very weak.
191,"Very competitive, high performance and political environment"
192,"Very competitive, high performance and political environment"
193,Too much Travelling during the week for projects
194,promotion schedule can be quite strict
195,Long Hours and Low pay for the work compared to other industries
196,Uninteresting projects and lack of control over career and work
197,"Below industry pay, perception to outsiders is that we earn far more than we do.

They cut pensions and bonuses due to covid yet always talk about strong pipelines - it doesn’t make sense"
198,Not to much career development for the UK office
199,Long working hours - it's a consultancy company!
200,Long working hours - it's a consultancy company!
201,"Nothing to suggest, everything is great"
202,"Not immune to corporate politics, 2020 has seen lot of negative changes but hopeful these will improve again with time"
203,"Progression, political, work life balance, salary, bonus"
204,"Long hours, Heavy workload, Hard to network"
205,"Progression, political, work life balance, salary, bonus"
206,Lack of opportunities for growth
207,Difficult to get recognition and reward
208,Difficult to get recognition and reward
209,Very low starting salary compared to the same position within Big 4.
210,Very low starting salary compared to the same position within Big 4.
211,"Hierarchical culture, some bad eggs spoiling it for others"
212,A lot of hoops to jump through for promotion
213,A lot of hoops to jump through for promotion
214,High pressure and working hours
215,High pressure and working hours
216,"Long hours, difficult work life balance"
217,Limited path to partner if you are not a sales person
218,The workload is often ridiculous and you don't get any thanks or credit for working evenings and weekends (which is completely unpaid).
219,The workload is often ridiculous and you don't get any thanks or credit for working evenings and weekends (which is completely unpaid).
220,Pay can be a little less.
221,"None, no other cons for me"
222,"None, no other cons for me"
223,Complex and out of date career path and development. Not good for experienced hires.
224,They’re just here for profit.
225,The companies technical capabilities are not fit for purpose.
226,Low salary and benefits at lower levels
227,"Poor training, long hours, poor work life balance"
228,could be improved in some areas
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging."
230,Low pay scale compared to the industry
231,Low pay scale compared to the industry
232,I didn't like the division I was on.
233,I didn't like the division I was on.
234,Bonus is very little. Review process is not transparent at all.
235,shared space with all of you coworkers. you have a locker
236,Inflexible promotion and work overtime
237,long hours especially during the lockdown
238,Can't really think of any
239,Can't really think of any
240,Too much work and fast speed. Very high quality is expected
241,Too much work and fast speed. Very high quality is expected
242,work-life balance can be quite sportadic
243,Getting gradually swallowed by the Deloitte machine and is losing its former magic.
244,Work load is high and can be intense.
245,Projects out of your hands
246,Projects out of your hands
247,Strict hard fail policy on exams
248,Strict hard fail policy on exams
249,salary was lower comparing to oher tech companies/consulting companies
250,"Can be long hours, and bonuses aren’t great!"
251,High work load at times and part of a large organisation so making an impact can be difficult.
252,Lack of work life balance
253,Lack of work life balance
254,Working hours can sometimes be long!
255,Working hours can sometimes be long!
256,Longer hour compares to other divisions
257,Too much bureaucracy at times
258,Too much bureaucracy at times
259,work life balance hours around
260,"Very large organisation, difficult to navigate"
261,"Very large organisation, difficult to navigate"
262,"No progression, you're there to serve the partners"
263,I have noted no cons
264,nothing to complain except for long working hours but expected
265,nothing to complain except for long working hours but expected
266,Competitive to work with others
267,Poor work life time balance
268,Departmental changes may be announced without care for its employees
269,Departmental changes may be announced without care for its employees
270,Career Progression is limited within the business
271,Career Progression is limited within the business
272,#NAME?
273,Large company can feel impersonal; lower compensation than competitors
274,Not great pay - could offer slightly more as this wage doesn't really cover London living expenses if living alone.
275,Not great pay - could offer slightly more as this wage doesn't really cover London living expenses if living alone.
276,Work life balance isn't the best but is key for the development.
277,Work life balance isn't the best but is key for the development.
278,Underpaid compared to other companies
279,Underpaid compared to other companies
280,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time"
281,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time"
282,Hours can be challenging at times
283,Hours can be challenging at times
284,"Rude and arrogant mangers, unfriendly bullying staff, worst than a retail job"
285,"Rude and arrogant mangers, unfriendly bullying staff, worst than a retail job"
286,"- A lot of focus on sales
- Work/Life balance is sometimes challenged
- Perks could be better"
287,Not enough clarity regarding the promotion process
288,"low salary, a lone wolf environment within this department."
289,Workload can be large in busy season
290,The pay for technical Cloud people are not on par with other companies.
291,The pay for technical Cloud people are not on par with other companies.
292,"Stress
Lack of work/life balance 
Expected to work long hours"
293,pay could be more competitive
294,Nothing I can think of
295,Nothing I can think of
296,low pay at start (first 3 years)
297,Can be long hours at times
298,Long hours during busy season
299,Management can sometimes be detached from operations staff
300,"Work life balance, remuneration, size of the org"
301,below-average salary and inevitable admin work invloved
302,You can work a lot of hours during the busy season
303,You can work a lot of hours during the busy season
304,"Work life balance
No overtime pay"
305,"Work life balance
No overtime pay"
306,"Very long hours at all levels - Analyst and up. Very late evenings are the norm and weekend work often required. No overtime, very small bonuses (if you even get one) and overall basic salary for the time, effort, and responsibility."
307,Some times you get to work in a area where you don’t have experience and they expect you to be an expert in that area
308,I am often very busy
309,"very English centric, low salary, no bonus"
310,"very English centric, low salary, no bonus"
311,"underpaid
long hours
Mediocre people management in the past year during the pandemic."
312,"underpaid
long hours
Mediocre people management in the past year during the pandemic."
313,"underpaid
long hours
Mediocre people management in the past year during the pandemic."
314,Working IB hours on an accountants' pay
315,Working IB hours on an accountants' pay
316,Higher management have lost there way
317,"Low pay, no real salary growth, mediocre team in terms of brains but better than many other places"
318,"long hours, rubbish bonus, partner politics"
319,though place to work i can tell you that
320,"A lot of pressure from the outset, long hours"
321,Nothing relating to just the firm
322,target driven and apply pressure
323,target driven and apply pressure
324,Lack of work life balance
325,"Work life balance, no paid overtime."
326,Long hours which has impact on work life balance
327,"- Like and PS firm, chargeability is key. It is an output-based model which means hours can/are insane 
- Matrix structure and partnership model means that long term investments are difficult to get approved as there is a huge focus on partners/member firms bottom line. You're global but local... 
- Lots of corporate politics to navigate and bureaucracy given the Audit arm of the business"
328,Lack of diversity among senior leadership
329,"Gender inequality, under paid staff and massive discrepancies in pay for woman, pregnant woman don’t tend to return to work. Although not the same in all departments."
330,Nothing that i can think of.
331,Nothing that i can think of.
332,#NAME?
333,Long hours and sales focussed with seniority
334,"Work-life balance, stress from working"
335,Working from home can be tiring
336,Working from home can be tiring
337,Working from home can be tiring
338,No work life balance and too much pressure.
339,hard to move things forward
340,hard to move things forward
341,No rotation opportunities as a recent graduate. Pigeon holed in very specific role on very specific types of project
342,No rotation opportunities as a recent graduate. Pigeon holed in very specific role on very specific types of project
343,It’s very tribal. If you don’t win favour with Managment you’ll never get promoted.
344,"Really boring work, no exposure to senior management"
345,"Being such a large business, it can be hard to navigate and find the right people/teams"
346,"Hours, pay, lack of support"
347,Lots of red tape and processes to follow
348,Long Hours affecting work life balance
349,Free dinners during busy season
350,None I can think of
351,"Low salary, too much work , too much pressure"
352,"Depending on the team you work in, it is not as diverse as you'd expect"
353,Lot of overtime work required
354,Can be quite hierarchical and difficult to get promoted
355,Entry pay and yearly review cycles
356,Entry pay and yearly review cycles
357,Focus is increasingly on partner earnings at the expense of other staff
358,Salary doesn’t reflect the work that is done and feel undervalued where salary is concerned.
359,Hours can be unpredictable. Firm is often constrained by compliance and process requirements
360,Finding a good project role early on can be a bit of a lottery and you might be sitting on the bench for a long time which can be demoralising.
361,"All dependent on who you work with, pyramid scheme due to partnership structure, low compensation"
362,Can get very busy at times!
363,sometimes work timings are odd
364,"High expectations to deliver on project work and internal requirements 
Hours can be long
Work can be challenging and stressful at times"
365,Big corporate sometimes means less responsibility and flexibility
366,"Slightly political
Low pay 
Long hours (at times)"
367,Process can be quite big
368,Forward facing client interaction which may not be for everyone
369,Some of the partners can't be trusted. Workload can be oppressive.
370,Limited growth across the firm with the fruits of junior labour ending up in Partner pay-checks - turning the company into a churn machine
371,hard to fit if if not a white man
372,"Hours, difficult to get a secondment into other divisions"
373,Busy season has long hours
374,bad work and life balance
375,Very structured compensation schedule . Doesn't recognise industry experience - stuck on the band with gradual increase - hard to get big raises
376,structures can be complex for new joiner
377,long hours and difficult to manage time
378,long hours and difficult to manage time
379,Sometimes long hours are required.
380,In-person internship cancelled due to COVID though that's not their fault
381,structure can be quite rigid
382,"salary, remuneration, hours and poor bonus"
383,"Salary, promotion cycles is once a year, the more senior you become the more your career is dependant on your network and partner relationship"
384,Long hours (especially in busy season)
385,Sometimes working at the company can be stressful but that’s same for any job.
386,"Work life balance, progression in internal roles"
387,there have been none noted here
388,sometimes it is hard to work from home and find that balance between being at home and on client site
389,"The pay, especially bonuses could be more competitive"
390,Long hours depending on certain projects although there is a lot of emphasis on work life balance
391,"very little internal mobility
senior management should work on listening to needs of staf"
392,Hours can be long based on project
393,#NAME?
394,Too much pressure and the pay is not great
395,"Terrible for well-being, poorly remunerated, a company that pretends to care but in reality that is not the case, nasty & competitive working environment."
396,"Long hours, can get really busy"
397,compensation is on the lower side compared to Industry
398,"Very bad work/life balance. Performance reviews are not necessarily fair. No matter how good the work is that you deliver, unless you make a lot of noise you will be seen as underperforming. Compensation is not great compared to competitors."
399,"Complex structure which can be difficult to navigate and find your way in
Partnership model"
400,"Work life balance is one, and the need to create a network"
401,hard work and long hours
402,"Repetitive work/boring work at times, within audit"
403,The culture is workaholic and that does mean sacrifices.
404,Limited transparency over career progression
405,"Hours, no work life balance, unrealistic expectations"
406,"Bit of a machine, can fee like a cog in the wheel"
407,Salary is low especially on senior levels
408,"Success relies a lot on networks, difficult to know who knows what, internal HR / finance systems are terrible"
409,"bad hours, lack of office spaces"
410,"Extremely over worked, expected to be online at all times"
411,"Extremely over worked, expected to be online at all times"
412,None that come to mind
413,"Llimited mentoring, opportunities to develop, limited development"
414,"Pay is ok, not bad hours though"
415,"Culture is far from diverse, the partnership structure makes everything unnecessarily complicated and slow. Everything is done for partner bonus"
416,Small fish in big ocean
417,graduates entry salary has been stagnant over the past 10 years
418,"Workload a bit high, salary"
419,"Nothing but Salary Can be Better,"
420,work load here is a con
421,Long working hours with upto 16-17 hrs of work during busy period. There is little to no personal life and even that is not adequate to impress your already biased bosses. The salary is peanuts for the amount of work expected. There is always a wellness survey conducted every year. But they don't take the results seriously. They are only obsessed with billing hours.
422,"Work hours highly variable depending on your team
Often a culture of implicit overtime working for no pay on evening and weekends especially in busy season. You need to make a strong effort to push back and set boundaries with some managers
Audit work can feel meaningless and just a tick box exercise
Underpaid for your experience"
423,Promotion is unclear - very much depending on who you know/years that you have worked for rather than actual achievements.
424,Need network to climb higher in the hierarchy
425,"High workload, pressure, low salary"
426,"Low pay
Long hours
Lot of ground work"
427,"Time management, pay, travelling, under resourced projects"
428,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit"
429,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit"
430,Internal politics - not easy to get a good team or be om great clients
431,"Strong network culture pushing people to focus on the ""visibility"""
432,Time consuming and asked to contribute to development
433,Work hours are very long sometimes eat lunch at table
434,"Lots of protection - can be essentially ignored by management sometimes, rarely directly client facing at junior level"
435,Low salary and competitive environment
436,"Pay, large, company, changes, no choice in projects"
437,"Focus on partner profit means employees can feel short changed, long hours"
438,The typical large corporate negatives. Slow pace back office. Difficult to stand out. Nothing particular about Deloitte though.
439,"If you land on a less useful project, your experience may differ, Deloitte appears to pay lower than industry alternatives"
440,poor salary- below industry standard
441,You feel tiny as part of a very large firm
442,Can be hierarchical at times
443,"Long hours sometimes demanding clients, bad for work life balance"
444,Sometimes long hours. Mental health conversation seems more of a tick the box than genuine interest in balance.
445,Large company so can be competitive
446,Long hours. Not highly compensated.
447,Long hours. Not highly compensated.
448,senior management not experienced in delivery roles
449,Can be long hours sometimes
450,Sometimes not objective performance appraisal. Strongly depend on the project.
451,Long hours no overtime pay
452,Long hours no overtime pay
453,Low Salary compared to peers
454,Long hours and large work loads but great for driven individuals
455,comms from management could be better during a restructure
456,"Bureaucratic, lots of processes. very big"
457,Back office systems and processes aren't as effective as they could be
458,Lots of politics and red-tape which makes it really hard to get anything done.
459,Working on things that you dont feel make a difference
460,Can get too intense considering work load and fast pace
461,How the treat people there
462,"High workload, not flexible on holiday."
463,"- Lack of work life balance
- Not the best pay masters"
464,there needs to be more hiring of newly qualified staff
465,Projects away may not suit everyone's lifestyle
466,Not necessarily the highest pay for top performers
467,"Long hours, very bureaucratic, low salary"
468,Can be stressful in busy season
469,Absolutely no work life balance
470,Difficulty in switching projects and changing teams
471,Difficulty in switching projects and changing teams
472,"Pressure, how’s pro life balance, performance assessment"
473,Maybe not as well paid as other places but
474,Salaries and bonuses can be below market
475,Politics in the review process
476,"- Deeply toxic culture where the Partners earn millions while Analysts and Consultants do all the work
- Many juniors neglect their physical health working long nights even overnight in many instances chasing the dream of becoming a partner, something only a tiny minority manage to achieve
- The style of management deep red / command and control"
477,Long hours and bonuses are minimal which leads to you not feeling valued for working harder.
478,"Hard to get bonus, pay static"
479,nothing to complain with it
480,Difficult to find those resources and difficult to get effective help during COVID with remote working
481,Difficult to find those resources and difficult to get effective help during COVID with remote working
482,lack of clear management and boring work
483,Quite a rigid org structure meaning there is limited flexibility to move across the firm
484,Sometimes there can be a lot of internal admin
485,Stress Busy Resourcing issue Pressing
486,"Long hours
Demanding
One has to be adaptable and with thick skin"
487,Paid is minimum and pay rise is slow
488,nothing but the coffee needs improving.
489,None that I can think of.
490,The workload can be demanding
491,too stressful to work there
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer."
493,Other members of call coach will have next to nothing to do while you can at time be doing most of the work.
494,Work/life balance is non existent for a small portion of the year
495,Pay could be better aligned to performance (low performers and top performers paid roughly the same)
496,"Outdated salary structure (make little until you hit partner)
Large and bureaucratic"
497,Pressure and work life balance
498,limited exit opportunity afterwards which
499,"- Difficult to move between departments 
- Not as agile as it could be
- Intense workloads"
500,"Some projects can be boring and involve long hours 
A lot of extracurricular work is required to get noticed for promotion 
Salary is not great and can find better elsewhere"
501,"say good bye to social life, the more you put in the more you get"
502,Normally there are long hours to work
503,Sometimes hours can be tough if you don't communicate your workload
504,"Long hours, can be stressful"
505,Lack of technical know - how in management often
506,Long working hours at times
507,Take over life if you got anything else on forget it
508,Long working hours during busy season
509,Salary is lower than other organizations
510,Some senior positions need to be rotated as they become too distant from juniors personal needs
511,Hours to pay ratio not good enough
512,"Long working hours, specially now at home"
513,"Poor work/life balance, compensation and benefits not up to the energy committed"
514,Less responsibilities compared to smaller firms
515,Sometimes difficult to manage work life balance
516,"Demanding, and occasionally psychotic, management"
517,Challenging work load and HR structure
518,"Long working times, not work life balance"
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated)."
520,"Workload, Increment cycle is way old fashioned"
521,Dispersed teams sometimes make it hard to know where to go.
522,Experience dependent on what team you are in
523,There isn't a lot of transparency.
524,"Long work hours, colleagues working for long time gang up against new joiners and do not let new joiner progress. Too many young people are given senior roles and authority that they often misuse. Insecure collegues !"
525,Bad people but good environment
526,Full of middle class posh selfish snakey people
527,Very large organisation sometimes miss out on things
528,"Poor Reward, some long hours"
529,None to report as similar to any other big consultancy
530,High pressure environment. Long hours
531,work life balance can be a challenge particularly during peak reporting periods.
532,I’m corporate finance you can work IB hours for a third of the salary
533,"No diversity - if you are non-white, it is hard to climb promotion."
534,sometimes long hours and lower pay
535,Long hours and lack of work life balance
536,Difficult to get a promotion
537,very large company and extremely corporate culture
538,"Very profit driven
some teams don't look after you"
539,Lower remuneration compared to market rate
540,"Culture is very 80s like, white boys club unfortunately and difficult to move around, low salaries compared to hours worked"
541,Bad working life balance - long hours underpaid
542,Bad working life balance - long hours underpaid
543,"Can be long hours sometimes, but expected in the sector"
544,"Low pay
Work can be boring"
545,"Low pay
Work can be boring"
546,"toxic environment, white supremacy, long work hours,"
547,Sometimes long hours and demanding clients
548,Striking for work life balance
549,A bit stressful in certain periods
550,A bit stressful in certain periods
551,Some projects have large teams and individually making an impact can be difficult.
552,Some projects have large teams and individually making an impact can be difficult.
553,"Terrible management, lack diversity in action,"
554,"Low salary compared to other big 4 firms in the UK.

Long hours and no overtime."
555,People start things but never finish; you feel like a resource in a big company; salary is not competitive
