id,cons,pain points,topic_label
24,"They ask a lot of employees, so the stress burden of each employee depends on how passionate they are about the actual work.",high stress burden due to frequent requests from management,"Workload, Stress & Exhaustion"
25,tough culture but good opportunities,tough culture,Workplace Culture
26,"eventually, it gets rather boring",eventually becoming boring,Work Life Balance
27,SLOW to promote unless your are favoured,slow promotion process,Promotion & Succession
27,SLOW to promote unless your are favoured,favoritism in promotions,Promotion & Succession
28,no cons from me here,,
29,Very structured career progression opportunities,lack of structured career progression opportunities,Career Development & Growth Opportunities
30,Lack of transparency re internal mobility,lack of transparency in internal mobility,Company Strategy
31,Working hours can be longer due to the deadlines creating a pressured environment,longer working hours,"Workload, Stress & Exhaustion"
31,Working hours can be longer due to the deadlines creating a pressured environment,pressured environment due to deadlines,"Workload, Stress & Exhaustion"
32,relatively low salary to start with,relatively low starting salary,Compensation & Benefits
33,"Can be long hours
client variety can vary depending on the department
little is really done for the mental health",long hours,"Workload, Stress & Exhaustion"
33,"Can be long hours
client variety can vary depending on the department
little is really done for the mental health",lack of support for mental health,Workplace Safety
34,pays below other big 4,pays below other big 4,Compensation & Benefits
35,"Can require long hours in certain profiles, very fast paced",long hours,"Workload, Stress & Exhaustion"
35,"Can require long hours in certain profiles, very fast paced",fast-paced environment,Organizational Processes Efficiency
36,Long hours and bad life/work balance.,long hours,"Workload, Stress & Exhaustion"
36,Long hours and bad life/work balance.,bad life/work balance,Work Life Balance
37,long working hours and lack of visibility,long working hours,"Workload, Stress & Exhaustion"
37,long working hours and lack of visibility,lack of visibility,Communication
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms.",benefit allowance could be better,Compensation & Benefits
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms.",bonuses are not good enough,Compensation & Benefits
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms.",pay is not as competitive as other Big4,Compensation & Benefits
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors",lack of bonus since Brexit,Compensation & Benefits
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors",lack of pay rise since Covid,Compensation & Benefits
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors",lower salary than competitors,Compensation & Benefits
40,long hours and pressure from tight deadlines,long hours,"Workload, Stress & Exhaustion"
40,long hours and pressure from tight deadlines,pressure from tight deadlines,"Workload, Stress & Exhaustion"
41,The hours on the job were long,long hours on the job,"Workload, Stress & Exhaustion"
42,#NAME?,lack of structured route for progression,Career Development & Growth Opportunities
42,#NAME?,unclear progression route,Career Development & Growth Opportunities
43,"-Very rigid structure from A-C grade
hard to take on meaningful responsibility at early stages of your career, almost bubble wrapped",very rigid structure from A-C grade,Company Structure & Organization
43,"-Very rigid structure from A-C grade
hard to take on meaningful responsibility at early stages of your career, almost bubble wrapped",lack of meaningful responsibility at early career stages,Career Development & Growth Opportunities
44,Audit can be tedious at times,tedious audit process,Organizational Processes Efficiency
45,"terrible work culture, demanding and lacks employee benefit",terrible work culture,Workplace Culture
45,"terrible work culture, demanding and lacks employee benefit",demanding workload,"Workload, Stress & Exhaustion"
45,"terrible work culture, demanding and lacks employee benefit",lacking employee benefits,Compensation & Benefits
46,There is a steep learning curve and the work is very hard.,steep learning curve,Employee Training & Development
46,There is a steep learning curve and the work is very hard.,difficult work,Quality of Work
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects",little guidance when starting,Employee Onboarding
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects",high staff turnover,Employee Turnover
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects",long working hours when on projects,"Workload, Stress & Exhaustion"
48,"Pay can sometimes be on the lower side, no bonus",lower pay,Compensation & Benefits
48,"Pay can sometimes be on the lower side, no bonus",no bonuses,Compensation & Benefits
49,Long hours and high workload,long hours,"Workload, Stress & Exhaustion"
49,Long hours and high workload,high workload,"Workload, Stress & Exhaustion"
50,nothing negative to report at this point in time,,
51,"Work-life balance, pay, partner politics, covid response",poor work-life balance,Work Life Balance
51,"Work-life balance, pay, partner politics, covid response",low pay,Compensation & Benefits
51,"Work-life balance, pay, partner politics, covid response",partner politics,Company Climate
51,"Work-life balance, pay, partner politics, covid response",poor covid response,Company Climate
52,"- work balance
- long hours",work-life balance,Work Life Balance
52,"- work balance
- long hours",long hours,"Workload, Stress & Exhaustion"
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",poor pay,Compensation & Benefits
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",non-existent/low bonus,Compensation & Benefits
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",difficulty getting promoted due to Covid,Career Development & Growth Opportunities
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",frequent role switching impacting utilization,Role Conflicts
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",working with overqualified managers,Management Practices
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",partners not generating enough business,Company Strategy
54,"Long hours, knowledge expectations and utilisation requirements",long hours,"Workload, Stress & Exhaustion"
54,"Long hours, knowledge expectations and utilisation requirements",high knowledge expectations,Employee Training & Development
54,"Long hours, knowledge expectations and utilisation requirements",strict utilization requirements,Resource Allocation Efficiency
55,Work might be of different than your area of expertise,work outside of area of expertise,Staffing & Recruitment
56,nothing i can think of really,,
57,Long hours but comes with the industry,long hours,"Workload, Stress & Exhaustion"
58,"Long hours, too much red tape",long hours,"Workload, Stress & Exhaustion"
58,"Long hours, too much red tape",too much red tape,Bureaucracy & Administrative Excess
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground",low pay,Compensation & Benefits
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground",no bonuses,Compensation & Benefits
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground",unfair compensation distribution,Compensation & Benefits
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax).",low salary,Compensation & Benefits
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax).",insufficient bonus,Compensation & Benefits
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax).",vacation affecting bonus amount,Compensation & Benefits
61,"Sometimes long hours, admin, general corporate cons",long working hours,"Workload, Stress & Exhaustion"
61,"Sometimes long hours, admin, general corporate cons",administrative tasks,Bureaucracy & Administrative Excess
61,"Sometimes long hours, admin, general corporate cons",general corporate concerns,"Company Brand, Prestige & Reputation"
62,"Long hours, self discipline needed",long hours,"Workload, Stress & Exhaustion"
62,"Long hours, self discipline needed",lack of external discipline required,Management Practices
63,long hours and the heavy workload,long hours,"Workload, Stress & Exhaustion"
63,long hours and the heavy workload,heavy workload,"Workload, Stress & Exhaustion"
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",little reward for hard work,Recognition
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",poor performance evaluation,Performance Management
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",low pay,Compensation & Benefits
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",long hours with little reward,Compensation & Benefits
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",unrealistic deadlines,Organizational Processes Efficiency
65,No cons to date to report,,
66,Non existent work life balance,non-existent work-life balance,Work Life Balance
67,Long hours and boring work,long hours,"Workload, Stress & Exhaustion"
67,Long hours and boring work,boring work,Meaningfulness of Work
68,"Lonf hours, no work life balance",long hours,"Workload, Stress & Exhaustion"
68,"Lonf hours, no work life balance",lack of work-life balance,Work Life Balance
69,"tick-box exercise as training, internal communication can get quite complex and inefficient",tick-box exercise as training,Employee Training & Development
69,"tick-box exercise as training, internal communication can get quite complex and inefficient",complex and inefficient internal communication,Communication
70,Bad process for managing work pipeline,bad process for managing work pipeline,Organizational Processes Efficiency
71,Lots of work but thriving,heavy workload,"Workload, Stress & Exhaustion"
72,"hierarchy is real 
partnership makes it competitive - partners out for their own agenda",hierarchy issues,Company Structure & Organization
72,"hierarchy is real 
partnership makes it competitive - partners out for their own agenda",uncooperative partners,Relationship With Peers & Colleagues
73,"Hours
Lack of unity across business areas",long hours,"Workload, Stress & Exhaustion"
73,"Hours
Lack of unity across business areas",lack of unity across business areas,Company Structure & Organization
74,As detailed above. But overall can get very busy,can get very busy,"Workload, Stress & Exhaustion"
75,Depending on the projects there will be long hours,long hours on certain projects,"Workload, Stress & Exhaustion"
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.,significant difference across practices,Management Practices
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.,competitive environment,Company Strategy
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.,constantly challenging,Performance Management
77,"Toxic culture amongst senior leadership, boys club.",toxic culture amongst senior leadership,Leadership & Higher Management
77,"Toxic culture amongst senior leadership, boys club.",boys club,Workplace Culture
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it.",very competitive,Company Strategy
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it.",high workload,"Workload, Stress & Exhaustion"
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it.",high energy demand,Resource Allocation Efficiency
79,"long hours, too much admin work",long hours,"Workload, Stress & Exhaustion"
79,"long hours, too much admin work",too much admin work,Bureaucracy & Administrative Excess
80,"Travel depending on role
Very high expectations",very high travel expectations,"Workload, Stress & Exhaustion"
81,"Long hours, poor bonus, high staff turnover",long hours,"Workload, Stress & Exhaustion"
81,"Long hours, poor bonus, high staff turnover",poor bonus,Compensation & Benefits
81,"Long hours, poor bonus, high staff turnover",high staff turnover,Employee Turnover
82,The compensation is below market,compensation below market rate,Compensation & Benefits
83,Salary is not very competitive,low salary competitiveness,Compensation & Benefits
84,Low work life balance f,low work life balance,Work Life Balance
85,It’s a cut throat industry & you have to perform at 100% always,high performance expectations,Performance Management
85,It’s a cut throat industry & you have to perform at 100% always,constant pressure to perform,"Workload, Stress & Exhaustion"
86,You're either moving up or being moved out. Not a great place for a long term career.,not a great place for long-term career,Career Development & Growth Opportunities
87,Pay is relatively low compared to other industries,low relative pay compared to other industries,Compensation & Benefits
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",poor compensation,Compensation & Benefits
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",excessive cost cutting measures during Covid,Company Strategy
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",reduced pension contributions,Compensation & Benefits
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",reduced bonuses,Compensation & Benefits
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",higher cost cutting measures compared to competitors,Company Strategy
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",partners not sharing the burden of cost cutting measures,Company Strategy
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee,expected to work long hours,"Workload, Stress & Exhaustion"
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee,lack of recognition for junior grades,Recognition
89,You are expected to work all the hours under the sun and there is just no recognition for junior grades. You are treated as a number rather than as a valued employee,feeling treated as a number instead of a valued employee,Respect to Employees
90,No real leadership or development from managers in the teams,lack of leadership from managers,Leadership & Higher Management
90,No real leadership or development from managers in the teams,lack of team development,Employee Onboarding
91,Pay could be improved for staff,insufficient pay for staff,Compensation & Benefits
92,Lots of internal politics to contend with that get in the way of serving clients,internal politics getting in the way of serving clients,Company Strategy
93,Can not think of anything,,
94,"Poor management, culture is not consistent across the firm",poor management,Management Practices
94,"Poor management, culture is not consistent across the firm",inconsistent culture across the firm,Workplace Culture
95,Salary is not as good as other big 4,lower than expected salary,Compensation & Benefits
96,Work load can be a lot,heavy workload,"Workload, Stress & Exhaustion"
97,There’s no cons I can think of,,
98,Could offer better training and development opportunities to certain service lines - plenty in FA/ Cons/ Audit but not others,insufficient training and development opportunities in certain service lines,Employee Training & Development
99,"Could sometime feel siloed and very much driven by individual partner priorities, not aligning to your current goals",siloed work environment,Company Structure & Organization
99,"Could sometime feel siloed and very much driven by individual partner priorities, not aligning to your current goals",misalignment between individual partner priorities and current goals,Company Strategy
100,None at all. Fantastic place to work,,
101,"Culture 
Middle management are poor",poor middle management,Management Practices
102,Roles can involve long hours,long hours in roles,"Workload, Stress & Exhaustion"
103,Pushed very hard and can be long hours,push for long hours,"Workload, Stress & Exhaustion"
104,"long hours,travelling, steep learning curve",long hours,"Workload, Stress & Exhaustion"
104,"long hours,travelling, steep learning curve",travelling,Flexible Work Arrangements
104,"long hours,travelling, steep learning curve",steep learning curve,Employee Training & Development
105,Long hours at certain times in order to deliver the best client service,long hours,"Workload, Stress & Exhaustion"
105,Long hours at certain times in order to deliver the best client service,fixed delivery times,Organizational Processes Efficiency
106,Hours can be long on big engagements & pay is comparatively poor vs FA & consulting.,long hours on big engagements,"Workload, Stress & Exhaustion"
106,Hours can be long on big engagements & pay is comparatively poor vs FA & consulting.,poor pay compared to FA and consulting,Compensation & Benefits
107,"Too much work, long hours",too much work,"Workload, Stress & Exhaustion"
107,"Too much work, long hours",long hours,"Workload, Stress & Exhaustion"
108,Just too big for my liking - a mere cog in a huge machine,machine feeling too big,Working Tools & Equipment
109,Low salary compared to industry and political promotion,low salary,Compensation & Benefits
109,Low salary compared to industry and political promotion,political promotion,Promotion & Succession
110,Work/life balance can be poor throughout periods of the year,poor work/life balance,Work Life Balance
111,Plenty and lots of work,excessive workload,"Workload, Stress & Exhaustion"
112,Monotonous work but what do you expect?,monotonous work,Variability of Work
113,Poor work life balance at times,poor work life balance,Work Life Balance
114,Long hours during interim - busy season,long hours during interim,"Workload, Stress & Exhaustion"
114,Long hours during interim - busy season,busy season,Organizational Processes Efficiency
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",internal politics,Company Structure & Organization
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",thankless work,Recognition
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",poor work-life balance,Work Life Balance
115,"Internal politics, thankless work, work-life balance, low pay in comparison to industry (new graduate salaries haven’t moved in over 10 years)",low pay in comparison to industry,Compensation & Benefits
116,Really bad work life balance overall,bad work life balance,Work Life Balance
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",low pay for industry and experience,Compensation & Benefits
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",delayed promotions,Promotion & Succession
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",overselling roles to clients,"Company Brand, Prestige & Reputation"
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",overworking employees,"Workload, Stress & Exhaustion"
117,"- Low pay for industry and experience 
- Yearly promotion cycles where promotion decisions get made 4 months before they are given, meaning you could be working at the next grade for over 12 months before you are promoted 
- Tendency to sell roles to clients that are more senior than what will actually be staffed, meaning individuals are overworked, Deloitte are overcharging, all for the same low pay",overcharging clients,"Company Brand, Prestige & Reputation"
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours",pay could be better,Compensation & Benefits
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours",constant encouragement to perform above paid grade,Performance Management
118,"- pay could be better
- constant encouragement to perform above the grade you’re paid for
- can be long hours",long hours,"Workload, Stress & Exhaustion"
119,Partners spend to much time on favourite team members,partners spending too much time on favorite team members,Relationship With Direct Manager
120,"High Pressure Environment
Potentially Long Hours",high pressure environment,"Workload, Stress & Exhaustion"
120,"High Pressure Environment
Potentially Long Hours",potentially long hours,"Workload, Stress & Exhaustion"
121,"Hours can be absolutely horrific, and as a junior member of staff we don't get paid enough to work 80 hours a week",horrific hours,"Workload, Stress & Exhaustion"
121,"Hours can be absolutely horrific, and as a junior member of staff we don't get paid enough to work 80 hours a week",low pay for long working hours,Compensation & Benefits
122,"lots of work, high expectations",lots of work,"Workload, Stress & Exhaustion"
122,"lots of work, high expectations",high expectations,Performance Management
123,Can improve in overtime and be paid for this,lack of pay for overtime work,Compensation & Benefits
124,Very long hours and no work life balance,very long hours,"Workload, Stress & Exhaustion"
124,Very long hours and no work life balance,lack of work-life balance,Work Life Balance
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",poor strategy consulting,Company Strategy
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",lack of strategy projects,Company Strategy
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",transformation work disguised as strategy,Company Strategy
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",unproductive investment,Company Strategy
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",low pay,Compensation & Benefits
125,"Strategy consulting is the poor relation at Deloitte UK, and there aren't actually many strategy projects. It's largely transformation work masquerading as strategy. Lot's of 'investment' that rarely pays off and is actually just discounting. Pay is deeply disappointing, especially when you see how much the partners make. Opportunities limited beyond senior manager level if you enter the firm laterally.",limited opportunities beyond senior manager level,Career Development & Growth Opportunities
126,Salary is little less for the amount of work.,insufficient salary for the amount of work,Compensation & Benefits
127,"too busy, need to work really hard",too busy,"Workload, Stress & Exhaustion"
127,"too busy, need to work really hard",need to work very hard,"Workload, Stress & Exhaustion"
128,"slow salary progression, lack of ownership over career direction",slow salary progression,Compensation & Benefits
128,"slow salary progression, lack of ownership over career direction",lack of ownership over career direction,Career Development & Growth Opportunities
129,too much process to little time,too much process to little time,Organizational Processes Efficiency
130,"Hard work, people can be rude",hard work,"Workload, Stress & Exhaustion"
130,"Hard work, people can be rude",rudeness of people,Relationship With Peers & Colleagues
131,Lots of hours exceeding the usual 8 hours per day.,excessive working hours,"Workload, Stress & Exhaustion"
132,Ultimately a disregard for well-being despite a lot of central communication,disregard for well-being,Workplace Safety
132,Ultimately a disregard for well-being despite a lot of central communication,lack of consideration in central communication,Communication
133,The pay is low for the working hours.,low pay for working hours,Compensation & Benefits
