participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
33,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENFP,56,42,53,61,57,63,64,71,56,3,83,47,90,70,70,73,47,60,63,0,2,1,2,3,0,2,8,2,1,1,2,1,1,3,1,1,1,3,3,2,50,32500,15,-2,5,30,0,4,0,1,1,0,0,6,2,3,2,0
34,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENTP,51,41,58,53,54,65,61,71,67,3,70,60,70,70,73,73,50,63,67,2,2,1,2,1,5,3,14,0,1,1,2,1,2,4,3,1,3,3,3,1,40,50000,15,1,5,34,0,0,2,0,0,0,0,5,0,3,2,0
35,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,52,42,52,54,50,61,69,71,72,4,73,60,67,73,70,63,40,67,73,3,2,2,1,1,2,5,14,2,2,3,0,1,5,4,3,1,1,1,1,2,40,32500,15,-3,8,30,0,4,0,0,0,0,0,8,1,1,0,0
36,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENTP,67,39,62,60,72,65,54,71,63,3,73,57,83,70,77,73,57,73,73,0,2,2,2,1,2,3,22,2,2,0,2,1,4,4,1,0,3,1,1,1,48,4500,15,2,2,33,1,0,0,0,0,0,1,7,2,1,0,0
37,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFP,53,40,44,56,60,65,68,67,65,3,70,67,70,70,87,70,50,50,53,3,3,3,3,1,1,10,1,3,2,6,3,1,4,1,3,0,1,8,1,2,36,50000,25,3,6,26,0,4,0,0,0,0,0,9,4,1,1,0
38,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENTP,66,41,58,56,71,72,69,81,53,3,87,83,87,70,87,63,47,77,77,2,3,3,2,1,0,4,16,3,3,0,2,1,4,4,3,0,3,0,3,0,7,132500,15,-3,5,30,0,0,0,0,1,0,0,8,0,0,1,0
39,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENTP,56,37,60,49,47,68,63,71,71,4,73,73,50,77,60,60,60,73,73,1,2,2,1,0,2,4,24,1,2,0,0,1,5,0,1,1,3,1,1,1,8,72500,5,-3,8,30,0,0,0,0,1,0,0,8,1,1,0,0
40,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ENFP,66,39,53,61,69,74,78,81,63,6,93,77,87,80,83,93,60,73,87,2,3,3,3,3,2000,2,19,3,3,0,3,1,1,4,1,1,3,3,3,0,48,72500,25,3,5,26,1,0,0,0,1,0,0,7,2,1,1,1
41,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENFP,64,31,51,53,61,64,68,82,63,3,93,77,90,83,63,60,50,60,53,2,3,3,2,1,0,2,25,2,2,3,2,1,2,0,1,0,1,3,0,1,40,50000,15,-3,5,36,0,0,0,0,0,0,0,8,0,1,0,0
42,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ENTP,68,38,54,62,74,71,79,90,53,3,87,80,93,77,77,80,63,80,70,1,2,3,3,0,2,20,22,2,2,2,3,1,10,4,3,0,5,3,3,1,40,50000,25,2,5,48,0,0,2,0,0,0,0,9,1,3,1,2
43,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENTP,73,41,54,49,78,67,75,82,44,3,80,57,90,70,73,77,57,73,53,3,3,3,2,3,2,3,20,2,2,1,3,1,1,3,3,0,1,3,1,1,49,17500,45,0,5,29,0,0,0,0,0,0,0,7,1,3,1,0
44,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFP,70,32,52,52,75,65,76,89,42,1,100,90,90,63,73,70,57,77,90,0,3,3,3,0,3,4,22,3,3,0,3,1,2,2,1,0,1,3,3,0,40,50000,25,0,6,26,0,0,0,0,1,0,0,8,1,3,4,0
45,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENFP,57,38,52,54,58,65,71,64,56,3,63,77,67,60,73,67,53,63,67,2,2,3,-3,1,0,6,25,2,2,1,3,1,5,4,3,0,3,1,1,1,35,100000,5,2,6,35,0,0,0,0,1,0,0,6,2,1,0,0
46,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ESTP,49,58,56,51,58,51,53,56,50,3,57,43,53,27,53,47,50,57,63,0,0,0,0,0,0,2,27,0,0,1,-3,1,0,0,0,0,0,0,0,0,7,4500,0,0,5,32,1,0,0,0,0,0,0,9,0,0,0,0
47,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTP,80,37,54,54,76,57,71,89,38,1,93,73,80,60,60,53,63,70,67,3,3,-1,3,1,1,3,10,3,0,2,2,1,3,4,5,0,3,3,1,1,35,50000,15,-2,5,38,1,0,0,0,0,0,0,6,4,1,0,0
48,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTP,64,46,54,53,56,60,63,67,74,4,67,50,73,90,80,67,67,63,83,3,3,2,2,5,6,8,28,1,2,3,2,1,4,1,3,1,1,3,0,1,40,100000,15,-1,6,36,1,4,2,0,1,0,0,4,1,0,1,2
49,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISFP,44,51,51,48,43,51,49,38,43,7,33,40,33,40,47,50,47,33,40,1,1,1,2,0,0,4,20,1,1,1,-3,1,2,3,0,3,3,3,3,1,36,175000,0,-1,5,34,1,9,0,0,0,0,0,5,2,3,1,2
50,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENTP,64,43,69,60,65,68,61,78,57,3,80,83,77,60,73,77,53,60,63,3,3,2,3,3,5,10,26,3,3,6,3,1,8,4,3,0,3,1,3,0,24,72500,25,2,5,26,1,0,0,0,0,0,0,8,0,1,0,0
51,,,,,,,,,,,,,,ESTJ,51,49,60,66,56,49,53,43,50,3,43,80,80,73,23,53,50,70,83,1,2,2,1,1,0,2,25,2,3,3,3,1,2,0,3,1,3,1,1,2,45,50000,5,-3,5,36,0,0,0,0,0,0,0,8,1,3,1,0
52,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFJ,76,40,40,67,85,76,65,68,29,3,63,77,87,60,80,53,37,60,53,2,3,2,3,1,6,3,24,2,2,3,3,1,3,4,3,0,3,1,5,2,48,72500,25,-1,6,43,0,9,3,0,1,0,0,8,2,3,2,1
53,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENTP,69,43,54,63,78,69,71,89,38,8,90,80,73,60,87,80,73,87,63,2,1,1,2,3,10,20,22,3,2,0,3,1,10,4,3,2,3,8,5,2,40,50000,15,-2,5,33,0,0,0,2,1,0,0,7,1,3,1,1
54,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ESFP,69,52,51,61,74,68,82,79,44,3,83,80,80,53,83,73,63,73,80,2,2,2,2,3,0,10,21,2,2,2,2,1,10,4,1,0,1,3,1,0,42,100000,5,-2,5,22,1,0,0,0,0,0,0,6,0,0,0,0
55,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ESFP,50,54,43,40,46,56,64,53,65,3,60,53,67,57,67,37,63,37,33,1,2,2,-2,1,3,34,24,2,-2,1,1,1,45,0,0,0,0,0,0,1,55,32500,0,2,2,32,0,1,0,0,0,0,0,6,1,0,0,2
56,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ENFP,67,34,50,63,75,72,75,90,57,3,97,73,93,77,73,80,57,80,80,3,3,3,3,3,5,7,21,2,2,1,2,1,2,3,3,1,3,3,3,2,50,32500,25,-2,6,38,1,0,4,3,0,0,0,8,1,3,2,3
57,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESFP,57,44,31,61,54,63,69,64,29,2,70,87,67,43,67,50,43,53,63,0,2,3,3,1,0,4,27,3,3,0,3,1,1,4,0,0,0,0,0,0,40,100000,15,0,4,33,0,0,0,0,0,0,0,6,0,0,0,0
58,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENFP,69,42,49,59,75,69,79,78,22,6,73,80,67,50,77,83,80,77,33,3,2,3,3,3,0,7,30,1,3,1,-3,1,7,4,7,0,1,0,3,1,70,225000,45,0,4,46,1,0,0,0,0,0,1,8,5,6,0,0
59,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENTP,61,42,56,56,58,63,63,69,72,4,63,67,77,77,73,80,67,70,77,2,2,2,2,1,1,5,20,2,2,1,2,1,5,4,3,1,0,0,1,2,50,175000,0,1,5,34,1,0,0,0,0,0,0,7,1,3,1,0
60,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ESFP,48,61,53,61,53,42,54,65,39,3,67,57,60,43,43,63,53,60,67,2,3,2,2,0,0,5,33,2,2,1,-1,1,1,4,1,0,3,0,1,2,40,100000,0,1,2,40,1,0,0,0,1,0,0,7,0,0,0,0
61,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENFP,68,31,50,59,69,79,82,79,53,2,80,100,80,60,100,93,40,63,93,2,3,3,2,3,0,5,30,3,3,3,3,1,5,3,3,0,3,3,3,0,40,132500,5,-3,5,31,0,0,0,0,0,0,0,8,0,0,0,0
62,,,,,,,,,,,,,,ENFJ,71,36,53,64,78,81,74,78,7,5,70,77,70,33,90,60,40,60,47,2,3,3,3,1,0,3,20,-3,3,3,3,1,4,3,3,0,3,8,3,4,40,72500,45,2,5,35,0,0,0,2,0,1,0,6,0,3,0,0
63,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ISFJ,36,67,41,71,38,35,82,67,49,9,53,67,33,67,47,73,37,27,80,0,-1,-1,2,0,0,3,21,2,-1,3,-1,1,2,3,0,0,0,0,0,0,46,32500,0,1,2,32,0,0,0,0,0,0,0,7,0,0,0,0
64,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ESFP,56,51,50,48,50,53,56,58,50,6,50,63,50,50,50,70,43,57,67,0,2,2,2,3,0,8,35,2,1,3,-3,1,8,0,7,0,0,0,1,0,50,50000,0,0,5,30,0,0,0,1,0,0,1,8,5,1,0,0
65,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENFJ,46,43,26,74,39,76,89,61,26,2,57,80,10,50,83,67,50,40,63,0,2,1,2,0,0,4,25,2,2,6,-2,1,5,0,0,0,3,3,1,1,45,72500,0,-3,5,45,1,0,0,0,0,1,0,7,0,0,0,0
66,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INFP,43,23,50,53,38,93,60,44,1,5,37,40,20,23,97,17,73,60,60,3,2,-2,2,1,2,15,29,-1,3,3,-3,1,7,0,0,0,0,11,0,1,28,17500,0,-3,5,60,1,0,0,0,1,0,0,8,0,1,0,0
67,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISTP,34,62,62,58,33,58,63,65,31,8,53,70,43,43,57,67,40,67,63,3,2,2,2,0,0,6,25,1,2,3,1,1,4,4,0,0,0,1,1,2,50,100000,0,1,5,65,1,0,0,0,0,0,1,9,0,0,0,0
68,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENFJ,67,12,38,67,85,78,92,81,22,8,97,77,73,53,90,53,77,100,43,2,3,3,3,0,2,1,19,2,2,6,3,1,1,4,1,0,0,0,0,3,45,32500,15,3,6,25,0,0,0,0,1,0,0,8,0,0,0,0
69,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENFP,77,40,49,49,64,61,89,78,31,8,83,83,53,37,67,60,67,83,50,0,-1,2,2,0,0,12,21,-2,2,2,-2,1,6,4,5,1,5,11,0,3,50,72500,25,1,2,62,1,0,0,0,0,0,0,5,1,1,0,2
70,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENFP,73,30,39,52,75,75,86,86,22,2,87,87,70,40,80,73,77,73,53,2,2,2,2,0,0,6,24,2,1,3,-2,1,4,2,3,0,1,0,3,0,40,50000,0,1,2,35,0,0,0,0,0,0,0,7,0,0,0,0
71,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISTP,27,63,61,59,31,46,78,68,25,8,57,80,43,37,33,70,23,77,57,3,2,2,2,0,0,6,25,2,1,3,1,1,4,4,3,1,1,3,0,2,50,100000,0,1,5,65,1,0,0,0,0,0,1,9,0,0,0,0
72,Leo,0,0,0,0,0,1,0,0,0,0,0,0,INTJ,43,39,54,67,44,69,83,76,19,5,73,70,33,40,80,60,50,57,60,2,2,2,3,0,0,10,22,2,2,12,-3,1,7,3,7,0,3,0,3,0,44,72500,5,-1,5,38,0,0,0,0,0,1,0,7,2,0,0,0
73,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENTP,58,0,69,9,65,99,49,67,36,5,70,33,53,30,100,47,87,80,37,2,3,3,3,0,0,1,28,2,3,0,-3,1,1,0,3,0,0,0,0,0,40,32500,5,-1,3,41,0,0,0,0,0,0,0,9,0,0,0,0
74,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ESFJ,77,52,51,70,79,65,74,89,24,3,90,80,83,50,70,60,80,70,63,2,3,2,1,1,0,5,16,2,3,6,2,1,2,1,1,0,3,11,1,1,42,72500,25,0,6,29,0,0,0,0,1,0,0,8,1,1,0,4
75,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,INFP,26,30,52,57,26,68,60,54,47,9,47,43,17,63,83,47,47,30,83,3,-1,2,-1,1,2,5,28,-1,2,2,2,1,4,0,1,0,0,1,1,3,43,32500,25,-2,5,63,0,0,0,0,0,0,0,8,0,0,0,0
76,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFP,58,21,48,51,65,67,82,63,21,7,63,53,40,43,80,50,63,60,30,3,2,2,2,0,0,3,19,3,1,16,-3,1,3,4,3,0,1,1,0,0,31,50000,5,-1,5,58,1,0,0,0,0,0,0,8,1,0,0,0
77,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENFP,53,41,43,56,50,61,61,50,29,7,50,57,33,40,70,37,67,53,53,3,3,2,-2,1,0,4,26,2,2,12,-2,1,6,0,0,1,6,11,0,1,55,100000,0,-3,6,39,0,0,0,0,0,0,0,6,0,6,0,1
